id,N,M
2015-06-27 08:00:20,10,15
2015-06-27 08:05:20,10,15
2015-06-27 08:10:20,10,15
2015-06-27 08:15:20,10,17
2015-06-27 08:20:20,8,16
2015-06-27 08:25:20,15,19
2015-06-27 08:30:20,16,19
2015-06-27 08:35:20,18,22
2015-06-27 08:40:20,22,27
2015-06-27 08:45:20,34,36
2015-06-27 08:50:20,35,41
2015-06-27 08:55:20,38,48
2015-06-27 09:00:20,42,46
2015-06-27 09:05:20,35,36
2015-06-27 09:10:20,45,44
2015-06-27 09:15:20,54,52
2015-06-27 09:20:20,49,51
2015-06-27 09:25:20,45,47
2015-06-27 09:30:20,46,46
2015-06-27 09:35:20,36,34
2015-06-27 09:40:20,48,46
2015-06-27 09:45:20,65,57
2015-06-27 09:50:20,56,40
2015-06-27 09:55:20,49,33
2015-06-27 10:00:20,40,24
2015-06-27 10:05:20,35,24
2015-06-27 10:10:20,44,38
2015-06-27 10:15:20,52,54
2015-06-27 10:20:20,51,59
2015-06-27 10:25:20,59,62
2015-06-27 10:30:20,60,64
2015-06-27 10:35:20,55,64
2015-06-27 10:40:20,53,55
2015-06-27 10:45:20,46,30
2015-06-27 10:50:20,28,18
2015-06-27 10:55:20,36,24
2015-06-27 11:00:20,40,31
2015-06-27 11:05:20,39,32
2015-06-27 11:10:20,41,28
2015-06-27 11:15:20,40,24
2015-06-27 11:20:20,32,17
2015-06-27 11:25:20,26,14
2015-06-27 11:30:20,28,16
2015-06-27 11:35:20,31,20
2015-06-27 11:40:20,40,23
2015-06-27 11:45:20,43,29
2015-06-27 11:50:20,48,30
2015-06-27 11:55:20,46,29
2015-06-27 12:00:20,41,24
2015-06-27 12:05:20,44,24
2015-06-27 12:10:20,43,28
2015-06-27 12:15:20,38,24
2015-06-27 12:20:20,36,21
2015-06-27 12:25:20,33,25
2015-06-27 12:30:20,36,36
2015-06-27 12:35:20,32,30
2015-06-27 12:40:20,31,21
2015-06-27 12:45:20,42,28
2015-06-27 12:50:20,47,29
2015-06-27 12:55:20,47,35
2015-06-27 13:00:20,50,48
2015-06-27 13:05:20,62,53
2015-06-27 13:10:20,73,69
2015-06-27 13:15:20,60,55
2015-06-27 13:20:20,63,62
2015-06-27 13:25:20,71,85
2015-06-27 13:30:20,72,82
2015-06-27 13:35:20,64,57
2015-06-27 13:40:20,54,44
2015-06-27 13:45:20,44,31
2015-06-27 13:50:20,47,33
2015-06-27 13:55:20,56,39
2015-06-27 14:00:20,61,48
2015-06-27 14:05:20,54,45
2015-06-27 14:10:20,53,35
2015-06-27 14:15:20,50,35
2015-06-27 14:20:20,46,34
2015-06-27 14:25:20,46,34
2015-06-27 14:30:20,45,27
2015-06-27 14:35:20,45,38
2015-06-27 14:40:20,52,48
2015-06-27 14:45:20,47,37
2015-06-27 14:50:20,43,29
2015-06-27 14:55:20,36,23
2015-06-27 15:00:20,36,30
2015-06-27 15:05:20,50,32
2015-06-27 15:10:20,39,20
2015-06-27 15:15:20,30,18
2015-06-27 15:20:20,23,14
2015-06-27 15:25:20,28,16
2015-06-27 15:30:20,29,17
2015-06-27 15:35:20,34,22
2015-06-27 15:40:20,43,34
2015-06-27 15:45:20,40,29
2015-06-27 15:50:20,35,21
2015-06-27 15:55:20,40,27
2015-06-27 16:00:20,39,26
2015-06-27 16:05:20,42,27
2015-06-27 16:10:20,50,36
2015-06-27 16:15:20,44,27
2015-06-27 16:20:20,42,23
2015-06-27 16:25:20,51,42
2015-06-27 16:30:20,58,44
2015-06-27 16:35:20,42,29
2015-06-27 16:40:20,31,19
2015-06-27 16:45:20,34,19
2015-06-27 16:50:20,36,20
2015-06-27 16:55:20,29,18
2015-06-27 17:00:20,43,30
2015-06-27 17:05:20,46,32
2015-06-27 17:10:20,32,20
2015-06-27 17:15:20,28,15
2015-06-27 17:20:20,28,16
2015-06-27 17:25:20,28,14
2015-06-27 17:30:20,34,19
2015-06-27 17:35:20,21,14
2015-06-27 17:40:20,21,13
2015-06-27 17:45:20,20,10
2015-06-27 17:50:20,14,7
2015-06-27 17:55:20,14,7
2015-06-27 18:00:20,20,14
2015-06-27 18:05:20,20,18
2015-06-27 18:10:20,12,10
2015-06-27 18:15:20,11,6
2015-06-27 18:20:20,11,7
2015-06-27 18:25:20,12,7
2015-06-27 18:30:20,12,7
2015-06-27 18:35:20,4,2
2015-06-27 18:40:20,4,2
2015-06-27 18:45:20,2,1
2015-06-27 18:50:20,3,2
2015-06-27 18:55:20,3,2
2015-06-27 19:00:20,2,1
2015-06-27 19:05:20,3,2
